join_id,position,glyph_id,role,separator
JOIN_ENGINE_CORE,1,symbol_engine,prefix, 
JOIN_ENGINE_CORE,2,letter_N,sequence,
JOIN_ENGINE_CORE,3,letter_F,sequence,
JOIN_ENGINE_CORE,4,letter_E,sequence,
JOIN_LIBRARY_CORE,1,symbol_library,prefix, 
JOIN_LIBRARY_CORE,2,letter_L,sequence,
JOIN_LIBRARY_CORE,3,letter_I,sequence,
JOIN_LIBRARY_CORE,4,letter_B,sequence,_
JOIN_LIBRARY_CORE,5,number_2,sequence,
JOIN_LIBRARY_CORE,6,letter_T,sequence,
JOIN_LIBRARY_CORE,7,letter_B,sequence,
JOIN_MMS_768,1,letter_M,sequence,
JOIN_MMS_768,2,letter_M,sequence,
JOIN_MMS_768,3,letter_S,sequence,-
JOIN_MMS_768,4,number_7,sequence,
JOIN_MMS_768,5,number_6,sequence,
JOIN_MMS_768,6,number_8,sequence,
JOIN_SYMBOL_CONTINUITY,1,symbol_atom_text,sequence, 
JOIN_SYMBOL_CONTINUITY,2,symbol_twin_text,sequence, 
JOIN_SYMBOL_CONTINUITY,3,symbol_infinity_text,sequence,
JOIN_WORKBENCH_CORE,1,symbol_workbench_wheel,prefix, 
JOIN_WORKBENCH_CORE,2,symbol_workbench,prefix, 
JOIN_WORKBENCH_CORE,3,letter_W,sequence,
JOIN_WORKBENCH_CORE,4,letter_O,sequence,
JOIN_WORKBENCH_CORE,5,letter_R,sequence,
JOIN_WORKBENCH_CORE,6,letter_K,sequence,
JOIN_WORKBENCH_CORE,7,letter_B,sequence,
JOIN_WORKBENCH_CORE,8,letter_E,sequence,
JOIN_WORKBENCH_CORE,9,letter_N,sequence,
JOIN_WORKBENCH_CORE,10,letter_C,sequence,
JOIN_WORKBENCH_CORE,11,letter_H,sequence,
